class_names,common_name,scientific_name,luhya_name,ailment_treated,preparation_method,dosage,created_at,updated_at
Aloe vera,Aloe vera,Aloe barbadensis,Rikaha,"Burns, wounds, constipation, diabetes,ulcers",Fresh gel applied or juice extracted,"1-2 tbsp gel/juice, 2-3 times daily",,
Amaranthus-Viridis,Pig Weed,Amaranthus viridis,Tsimboka,"Anemia, digestive issues, fever",Boiled leaves as tea or cooked as vegetable,"1 cup tea, 2-3 times daily",,
Basale,Malabar Spinach,Basella alba,Enderema,"Ulcers, skin conditions, anemia",Leaves boiled or eaten fresh,"1 cup decoction, twice daily",,
Betel,Betel,Piper betle,Tsisaka,"Cough, asthma, digestive problems",Leaves chewed or made into paste,2-3 leaves chewed after meals,,
Carissa-Karanda,Christ's Thorn,Carissa carandas,Karisamara,"Diarrhoea, fever, skin infections",Fruits eaten fresh or leaves boiled,2-3 fruits daily or 1 cup tea,,
Curry plant,Curry,Helichrysum italicum,Mukhuyu,"Respiratory issues, wounds, inflammation",Dried leaves as tea or steam inhalation,"1 cup tea, 2-3 times daily",,
Ficus-Auriculata,Fig Tree,Ficus auriculata,Lutoto,"Diabetes, diarrhea, skin conditions",Bark decoction or leaf tea,"1/2 cup decoction, twice daily",,
Ginger,Ginger,Zingiber officinale,Tangawizi,"Nausea, cold, arthritis, digestion",Fresh root grated or dried powder,1 tsp powder or fresh piece daily,,
Guava leaf,Guava ,Psidium guajava,Lipera,"Diarrhea, diabetes, wounds,ulcers,hair loss",Leaves boiled as tea or chewed fresh,"1 cup tea, 2-3 times daily",,
Hibiscus,Hibiscus,Hibiscus rosa-sinensis,Omsala kwa tsibanda/Musine,"High blood pressure, hair loss, fever",Flowers and leaves boiled as tea,"1 cup tea, twice daily",,
Holy Basil,Tulsi,Ocimum tenuiflorum,Omubasi omulahi,"Respiratory issues, fever, stress",Fresh leaves chewed or dried as tea,5-10 fresh leaves or 1 cup tea daily,,
Jackfruit,Jackfruit,Artocarpus heterophyllus,Mufenesi,"Diabetes, diarrhea, skin problems",Leaves boiled or bark decoction,"1/2 cup decoction, twice daily",,
Jamaica-Cherry,Strawberry Tree,Muntingia calabura,Mukengeta muto,"Fever, headache, stomach pain",Leaves and bark boiled as tea,"1 cup tea, 2-3 times daily",,
Jasmine,Jasmine,Jasminum officinale,Mvuli/Mvula,"Anxiety, skin conditions, wounds",Flowers made into oil or tea,1 tsp oil or 1 cup tea daily,,
Lemon,Lemon,Citrus limon,Indimu,"Scurvy, cold, digestive issues",Fresh juice or dried peel tea,1 tbsp juice or 1 cup tea daily,,
Mango,Mango,Mangifera indica,Muembe,"Diarrhea, diabetes, skin conditions",Bark decoction or leaves boiled,"1/2 cup decoction, twice daily",,
Mint,Mint,Mentha spicata,Lusu,"Digestive problems, headache, cold",Fresh leaves chewed or dried tea,5-10 fresh leaves or 1 cup tea,,
Moringa,Moringa,Moringa oleifera,Kumukikhili,"Malnutrition, diabetes, inflammation",Leaves eaten fresh or dried powder,2-3 fresh leaves or 1 tsp powder,,
Mustard,Mustard,Brassica nigra,Ikanzira,"Respiratory issues, skin conditions",Seeds ground or leaves as paste,1 tsp paste or 1 cup tea daily,,
Neem,Neem,Azadirachta indica,Mwarubaini,"Malaria, skin infections, diabetes",Leaves boiled or bark decoction,"1/2 cup decoction, twice daily",,
Oleander,Rosebay,Nerium oleander,Abaki/Kumusikhu,"Heart conditions, skin problems",Leaves boiled (use with caution),1/4 cup tea (very small amounts),,
Pappaya,Pawpaw,Carica papaya,Mapapai,"Digestive issues, wounds, malaria,ulcers",Leaves and seeds boiled or fresh juice,1/2 cup juice or 1 cup tea daily,,
Peepal,Sacred Fig,Ficus religiosa,Olusiola,"Asthma, diabetes, skin conditions",Bark decoction or leaves boiled,"1/2 cup decoction, twice daily",,
Rasna,Rasna,Pluchea lanceolata,Amasazi,"Arthritis, fever, digestive problems",Whole plant boiled as decoction,"1 cup decoction, twice daily",,
Sandalwood plant,Sandalwood,Santalum album,Ombusangura,"Skin conditions, fever, wounds",Wood powder or oil application,Small amount of powder/oil topically,,
Turmeric plant,Turmeric,Curcuma longa,Munyu,"Inflammation, wounds, arthritis, fever",Fresh root grated or dried powder,1 tsp powder or fresh piece daily,,
